original_name,Specification,Unit,price,+/-,pricing,currency,mass_unit,specific_price,commodity_info,Unnamed: 0,material_name,molecular_formula,molecular_formula_norm,index_use,index
Silicon metal,4-4-1 delivered in China,USD / mt,1640.5,ï¿½0.88,08.07.19,USD,metric_ton,1.6405,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,4-4-1 FOB China,USD / mt,1720.0,,08.07.19,USD,metric_ton,1.72,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,4-4-1 Ex-VAT FOB China,USD / mt,1565.0,,08.07.19,USD,metric_ton,1.565,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,4-2-1 delivered in China,USD / mt,1785.5,,08.07.19,USD,metric_ton,1.7855,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,4-1-1 delivered in China,USD / mt,1814.5,,08.07.19,USD,metric_ton,1.8145,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,3-3-03 delivered in China,USD / mt,1727.5,,08.07.19,USD,metric_ton,1.7275,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,3-3-03 FOB China,USD / mt,1755.0,,08.07.19,USD,metric_ton,1.7550000000000001,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,3-3-03 P 50ppm max delivered in China,USD / mt,1756.5,,08.07.19,USD,metric_ton,1.7565,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,3-3-03 P 50ppm max FOB China,USD / mt,1800.0,,08.07.19,USD,metric_ton,1.8,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,2-2-02 delivered in China,USD / mt,1901.5,,08.07.19,USD,metric_ton,1.9015,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,2-2-02 FOB China,USD / mt,1940.0,,08.07.19,USD,metric_ton,1.94,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,98.5% min delivered in US,USD / lb,1.19,,08.07.19,USD,lb,2.6235009200000428,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon polysilicon,6N delivered in China,USD / kg,10.55,ï¿½1.40,08.07.19,USD,kg,10.55,polysilicon,56,Polysilicon,,,material_name,Polysilicon
Strontium metal,99% min EXW China,USD / mt,6605.5,,08.07.19,USD,metric_ton,6.6055,metal,57,Strontium,Sr,Sr,molecular_formula,Sr
Strontium metal,99% min FOB China,USD / mt,7000.0,,08.07.19,USD,metric_ton,7.0,metal,57,Strontium,Sr,Sr,molecular_formula,Sr
Tantalum Conc.,Ta2O5 30% min CIF China,USD / lb Ta2O5,54.5,ï¿½0.91,08.07.19,USD,lb,120.15193289075827,Conc.,58,Tantalum Oxide,Ta2O5,O5Ta2,molecular_formula,Ta2O5
Tantalum metal,99.95% min EXW China,USD / kg,305.0,,08.07.19,USD,kg,305.0,metal,59,Tantalum,Ta,Ta,molecular_formula,Ta
Tantalum metal,99.95% min FOB China,USD / kg,260.0,,08.07.19,USD,kg,260.0,metal,59,Tantalum,Ta,Ta,molecular_formula,Ta
Tantalum metal,99.95% min delivered in US,USD / kg,280.0,,08.07.19,USD,kg,280.0,metal,59,Tantalum,Ta,Ta,molecular_formula,Ta
Tantalum pentoxide,99.5% min EXW China,USD / kg,185.0,ï¿½0.78,08.07.19,USD,kg,185.0,pentoxide,60,Tantalum Pentoxide,Ta2O5,O5Ta2,molecular_formula,Ta2O5
Tantalum pentoxide,99.5% min FOB China,USD / kg,185.0,ï¿½1.07,08.07.19,USD,kg,185.0,pentoxide,60,Tantalum Pentoxide,Ta2O5,O5Ta2,molecular_formula,Ta2O5
Tantalum pentoxide,99.99% min EXW China,USD / kg,252.0,,08.07.19,USD,kg,252.0,pentoxide,60,Tantalum Pentoxide,Ta2O5,O5Ta2,molecular_formula,Ta2O5
Tantalum pentoxide,99.99% min FOB China,USD / kg,247.5,,08.07.19,USD,kg,247.5,pentoxide,60,Tantalum Pentoxide,Ta2O5,O5Ta2,molecular_formula,Ta2O5
Tellurium metal,99.9% min in the warehouse Rotterdam,USD / kg,51.0,,08.07.19,USD,kg,51.0,metal,61,Tellurium,Te,Te,molecular_formula,Te
Tellurium metal,99.99% min EXW China,USD / kg,55.900000000000006,,08.07.19,USD,kg,55.900000000000006,metal,61,Tellurium,Te,Te,molecular_formula,Te
Tellurium metal,99.99% min in the warehouse Rotterdam,USD / kg,61.0,,08.07.19,USD,kg,61.0,metal,61,Tellurium,Te,Te,molecular_formula,Te
