,Commodity,price_info,full_name,price,price_units,Year,price_desc
141,Copper,LME,Copper LME,296.0,ctslb,2018,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
142,Copper,LME,Copper LME,272.4,ctslb,2019,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
143,Copper,LME,Copper LME,279.8,ctslb,2020,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
144,Copper,LME,Copper LME,420.0,ctslb,2021,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
145,Diamond (Industrial),Bort_Imports,Diamond (Industrial) Bort_Imports,0.16,dct,2017,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
146,Diamond (Industrial),Bort_Imports,Diamond (Industrial) Bort_Imports,0.12,dct,2018,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
147,Diamond (Industrial),Bort_Imports,Diamond (Industrial) Bort_Imports,0.14,dct,2019,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
148,Diamond (Industrial),Bort_Imports,Diamond (Industrial) Bort_Imports,0.19,dct,2020,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
149,Diamond (Industrial),Bort_Imports,Diamond (Industrial) Bort_Imports,0.21,dct,2021,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
150,Diamond (Industrial),Stones_Imports,Diamond (Industrial) Stones_Imports,12.9,dct,2017,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
151,Diamond (Industrial),Stones_Imports,Diamond (Industrial) Stones_Imports,2.9,dct,2018,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
152,Diamond (Industrial),Stones_Imports,Diamond (Industrial) Stones_Imports,5.8,dct,2019,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
