index,specific_price,keep,title,link,search_text
Mg(OH)2,1.014,y,"Magnesium Hydroxide Powder, For Industrial",https://www.indiamart.com/proddetail/magnesium-hydroxide-powder-22889270788.html?pos=5&kwd=mg oh 2 magnesium hydroxide&tags=A||||7440.6797|Price|proxy,Mg(OH)2 magnesium hydroxide
Mg(OH)2,1.95,y,"Powder Magnesium Hydroxide, Packaging Size: 25 To 50 Kilogram",https://www.indiamart.com/proddetail/magnesium-hydroxide-11612935212.html?pos=7&kwd=mg oh 2 magnesium hydroxide&tags=A||||7533.29|Price|product,Mg(OH)2 magnesium hydroxide
MgCO3,2.015,y,"Light Magnesium Carbonate IP Grade, Packaging Size: 50 Kg",https://www.indiamart.com/proddetail/light-magnesium-carbonate-ip-grade-1838739212.html?pos=6&kwd=mgco3 magnesium carbonate&tags=A||||7546.6187|Price|proxy,MgCO3 magnesium carbonate
MgCO3,1.69,y,"Magnesium Carbonate Powder, Grade: Chemical Grade",https://www.indiamart.com/proddetail/magnesium-carbonate-powder-21586123912.html?pos=5&kwd=mgco3 magnesium carbonate&tags=A||||8227.221|Price|proxy,MgCO3 magnesium carbonate
MgCO3,0.845,y,"Magnesium Carbonate, Grade: Chemical Grade",https://www.indiamart.com/proddetail/magnesium-carbonate-5368100797.html?pos=7&kwd=mgco3 magnesium carbonate&tags=A||||7536.3076|Price|product,MgCO3 magnesium carbonate
MgCl2,0.364,y,Magnesium Chloride LR Grade,https://www.indiamart.com/proddetail/magnesium-chloride-lr-grade-23654491848.html?pos=4&kwd=mgcl2 magnesium chloride&tags=A||||7613.566|Price|proxy,mgcl2 magnesium chloride
MgCl2,0.091,y,Magnesium Chloride,https://www.indiamart.com/proddetail/magnesium-chloride-20637793991.html?pos=5&kwd=mgcl2 magnesium chloride&tags=A||||8143.7246|Price|proxy,mgcl2 magnesium chloride
MgCl2,0.061099999999999995,y,"RSMW Magnesium Chloride Flakes Mgcl2, Purity: 99.5%, Chemical Formula: Mgcl2.6h2o",https://www.indiamart.com/proddetail/magnesium-chloride-flakes-mgcl2-21040635773.html?pos=6&kwd=mgcl2 magnesium chloride&tags=A||||7613.566|Price|product,mgcl2 magnesium chloride
MgF2,2.6,y,Magnesium Fluoride,https://www.indiamart.com/proddetail/magnesium-fluoride-22668377512.html?pos=4&kwd=magnesium fluoride mgf2&tags=||||7561.613|Price|product,magnesium fluoride mgf2
MgF2,1.17,y,"Magnesium Fluoride Powder, Loose",https://www.indiamart.com/proddetail/magnesium-fluoride-powder-27292479988.html?pos=5&kwd=magnesium fluoride mgf2&tags=||||7578.741|Price|product,magnesium fluoride mgf2
MgO,0.299,y,Magnesium Oxide,https://www.indiamart.com/proddetail/magnesium-oxide-22583192073.html?pos=7&kwd=mgo magnesium oxide&tags=A||||7650.5557|Price|proxy,MgO magnesium oxide
MgO,0.299,y,MAGNESIUM OXIDE,https://www.indiamart.com/proddetail/magnesium-oxide-22483233233.html?pos=4&kwd=mgo magnesium oxide&tags=A||||7423.2134|Price|proxy,MgO magnesium oxide
MgO,0.33799999999999997,y,"Technical Grade Magnesium Oxide Powder, For Industrial, Packaging Type: Bag",https://www.indiamart.com/proddetail/magnesium-oxide-powder-18913739412.html?pos=6&kwd=mgo magnesium oxide&tags=A||||7533.29|Price|proxy,MgO magnesium oxide
MgSO4,0.13649999999999998,y,"Magnesium Sulphate, Purity: 9.6",https://www.indiamart.com/proddetail/magnesium-sulphate-13198885988.html?pos=4&kwd=mgso4 magnesium sulphate&tags=A||||7570.7876|Price|proxy,MgSO4 magnesium sulphate
MgSO4,0.182,y,Magnesium Sulphate Powder,https://www.indiamart.com/proddetail/magnesium-sulphate-powder-22588246062.html?pos=5&kwd=mgso4 magnesium sulphate&tags=A||||8227.221|Price|proxy,MgSO4 magnesium sulphate
MgSO4,0.325,y,Magnesium Sulphate Heptahydrate,https://www.indiamart.com/proddetail/magnesium-sulphate-heptahydrate-26190816573.html?pos=6&kwd=mgso4 magnesium sulphate&tags=A||||7613.566|Price|proxy,MgSO4 magnesium sulphate
MnO2,0.585,y,Manganese Dioxide Mno2,https://www.indiamart.com/proddetail/manganese-dioxide-mno2-23210365688.html?pos=4&kwd=mno2 manganese dioxide&tags=A||||7695.002|Price|product,mno2 manganese dioxide
