,,sub_type,mat_type,C_kwh,specific_energy,specific_price,materials,mat_basis,SM_sources,price_sources,Cp,P_cavern,Qmax,T_max,T_melt,T_min,T_turning,VtoR,deltaG_chem,deltaH_thermochem,deltaT,deltaV,deltaV_cap,delta_height,dielectric_breakdown,dielectric_constant,mass_density,mu_total,n_e,notes,original_name,phase_change_T,sp_latent_heat,specific_capacitance,specific_strength,vol_latent_heat
unit_row,,N/U,N/U,USD / kilowatt_hour,kilowatt_hour / kilogram,USD / kilogram,N/U,N/U,N/U,N/U,kilowatt_hour / kelvin / kilogram,pascal,N/U,degree_Celsius,degree_Celsius,degree_Celsius,degree_Celsius,dimensionless,kilowatt_hour / mole,kilowatt_hour / kilogram,delta_degree_Celsius,volt,volt,meter,volt / meter,dimensionless,kilogram / meter ** 3,gram / mole,dimensionless,N/U,N/U,degree_Celsius,kilowatt_hour / kilogram,farad / gram,centimeter ** 3 * megapascal / gram,megajoule / meter ** 3
C6/LRMO LMNO,coupled_battery,solid_electrode,Li ion,43.63768175107824,0.5763272623890285,25.14958566060259,"[('Graphite', 1), ('LMNO', 0.7), ('LMO', 0.15), ('Li', 0.45)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : Alibaba, Li 2017, 2 : Alibaba, ISE, Li 2017, 3 : Alibaba, ISE, Kim 2013, Li 2017, SMM, Schnell 2020",,,,,,20.0,,,,,,4.95,,,,,,230.19364804999998,1.0,,,,,,,
C6/NCA,coupled_battery,solid_electrode,Li ion,55.68269958865049,0.6694458648881169,37.27655298542932,"[('Graphite', 1), ('NCA', 1)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,4.2,,,,,,168.14777600000002,1.0,,,,,,,
C6/NCM111,coupled_battery,solid_electrode,Li ion,38.70821934468895,0.6702328789665777,25.943521291060648,"[('Graphite', 1), ('NCM111', 1)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,4.2,,,,,,167.9503302,1.0,,,,,,,
C6/NCM622,coupled_battery,solid_electrode,Li ion,42.223800634165755,0.6660925352281071,28.124958411377623,"[('Graphite', 1), ('NCM622', 1)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,4.2,,,,,,168.99428740000002,1.0,,,,,,,
CH4 (Feedstock),synfuel,feedstock,,0.024479225552083473,2.2004152702271926,0.05386446170814015,"[('CO2', 1), ('Water', 4)]",molar,Synfuel feedstock,"0 : Knighton 2020, Zhao 2019, 1 : Antunez 2018, Li 2017",,,,,,20.0,,,0.2554,,,,,,,,,116.069,8.0,Based on hypotheticical reversible electrochemical oxidation reaction,Synthetic CH4 (Sabatier),,,,,
CH4 (LRC),synfuel,underground,,0.17541521470242755,15.919715763884561,2.7925603587234304,LRC,volumetric,Cavern,"Lord 2014, Papadias 2021",,,,,,20.0,,,0.2554,,,,,,,,65.82025300426449,16.043,8.0,,,,,,,
CH4 (Salt),synfuel,underground,,0.018128804493883276,15.919715763884561,0.28860541468165485,Salt Cavern,volumetric,Cavern,"ETI 2018, Lord 2014, Papadias 2021",,,,,,20.0,,,0.2554,,,,,,,,65.82025300426449,16.043,8.0,,,,,,,
CH4 Spherical Pressure,synfuel,tank,,5.388547864438998,15.919715763884561,85.784150381956,Spherical Pressure,volumetric,Tietze 2016,Tietze 2016,,,,,,20.0,,,0.2554,,,,,,,,0.7157557628840852,16.043,8.0,,,,,,,
CNT,EDLC,,,25247.212286976646,0.039608333333333336,1000.0,CNT,,Choi 2015,"Alibaba, Cheaptubes, Graphene supermarket",,,,,,20.0,,,,,,,0.7,,,,,,,,,,,582.0,,
Ca(BH4)2,synfuel,chemical,metal_hydride,5.240163960504197,4.3873210876375905,22.990281846598577,"[('Ca', 1), ('B',2)]",molar,Lai 2018,"0 : Alibaba, ISE, Indiamart, Kim 2013, SMM, 1 : Alibaba, Ray 2021, USGS",,,,,,20.0,,,0.2706889364650641,,,,,,,,,61.69800000000001,8.215142229592233,,Ca(BH4)2,,,,,
Ca(OH)2/CaO,thermochemical,,hydroxides,0.4925346838389669,0.3755555555555555,0.1849741368195231,CaO,,Andre 2016,USGS,,,,,,20.0,515.0,,,0.3755555555555555,,,,,,,,56.077,,,Ca(OH)2/CaO,,,,,
Ca-O2,coupled_battery,metal_air,,1.059247874896222,4.520619514169592,4.788456613598532,Ca,,Weinrich 2019,"Alibaba, ISE, Indiamart, Kim 2013, SMM",,,,,,20.0,,,,,,3.38,,,,,,40.078,2.0,,Ca-O2,,,,,
