,specific_price,molecular_formula,mass_density,source,original_name,notes,material_name,index_use,molecular_formula_norm,specific_strength
unit_row,USD / kilogram,N/U,kilogram / meter ** 3,N/U,N/U,N/U,N/U,N/U,N/U,centimeter ** 3 * megapascal / gram
NCA,34.0,LiNi0.8Co0.15Al0.05O2,,Li 2017,NCA,,,,,
NCM111,20.0,LiNi0.33Co0.33Mn0.33O2,,Li 2017,NCM111,,,,,
NCM622,25.0,LiNi0.6Co0.2Mn0.2O2,,Li 2017,NCM622,,,,,
NH4Cl,0.14,NH4Cl,,Li 2017,NH4Cl,,,,,
Ni(OH)2,20.0,Ni(OH)2,,Li 2017,Ni(OH)2,,,,,
NiCl,10.95552465706571,NiCl,,Li 2017,NiCl2 6H2O,,,,,
NMO,5.0,Na0.44MnO2,,Li 2017,NMO,,,,,
NTP,10.0,NaTi2(PO4)3,,Li 2017,NTP,,,,,
P2-NMO,15.0,Na0.67Mn0.67Ni0.33O2,,Li 2017,P2-Na2Mn2NiO6,,,,,
Pb,1.5,Pb,,Li 2017,Pb,,,,,
Pb2Sb,3.0,Pb2Sb,,Li 2017,Pb2Sb,,,,,
PPy-AC,30.0,,,Li 2017,PPy-AC,,,,,
S,0.25,S,,Li 2017,S,,,,,
Polysilicon,40.0,Si,,Li 2017,Si,,,,,
Ti2S4,80.0,Ti2S4,,Li 2017,Ti2S4,,,,,
TiS2,80.0,TiS2,,Li 2017,TiS2,,,,,
VOSO4,14.709372900645103,VOSO4,,Li 2017,VOSO4 4H2O,,,,,
Zn,3.0,Zn,,Li 2017,Zn,,,,,
Zn0.25V2O5,10.0,Zn0.25V2O5,,Li 2017,Zn0.25V2O5,,,,,
ZnBr2,1.56,ZnBr2,,Li 2017,ZnBr2,,,,,
ZnSO4,0.730269642458931,ZnSO4,,Li 2017,ZnSO4 7H2O,,,,,
Air,0.0,O2,,Li 2017,,,,,,
CuSO4,1.5,CuSO4,,Li 2017,,,,,,
K4Fe(CN)6,2.0,C6FeK4N6,,Li 2017,,,,,,
LiF,0.0358251176050426,LiF,,Ray 2021,LiF,,,,,
NaF,1.7747212105882646,NaF,,Ray 2021,NaF,,,,,
KF,5.842249947899256,KF,,Ray 2021,KF,,,,,
MgF2,0.9590108405042176,MgF2,,Ray 2021,MgF2,,,,,
CaF2,0.1322773573109265,CaF2,,Ray 2021,CaF2,,,,,
LiCl,8.818490487395103,LiCl,,Ray 2021,LiCl,,,,,
NaCl,0.054013254235295,NaCl,,Ray 2021,NaCl,,,,,
KCl,0.5015516464705965,KCl,,Ray 2021,KCl,,,,,
MgCl2,0.3769904683361407,MgCl2,,Ray 2021,MgCl2,,,,,
CaCl2,0.2204622621848775,CaCl2,,Ray 2021,CaCl2,,,,,
Li2CO3,7.771294742016935,Li2CO3,,Ray 2021,Li2CO3,,,,,
Na2CO3,0.3571488647395017,Na2CO3,,Ray 2021,Na2CO3,,,,,
K2CO3,1.2125424420168267,K2CO3,,Ray 2021,K2CO3,,,,,
Cu,7.165023521008521,Cu,,Ray 2021,Copper (Cu),,,,,
Ni,13.778891386554848,Ni,,Ray 2021,Nickel (Ni),,,,,
