index,source,material_names,energy_types,num_source,specific_price_refs,specific_price_element,specific_price,price_type
Ni,"USGS, Alok 2021",,latent_thermal,2,6.9402936,13.9,6.9402936,Ref(s)
Ni(OH)2,Li 2017,,,1,20.0,8.8835216,20.0,Ref(s)
NiCl2(H2O)6,Li 2017,,,1,5.1,3.5898535,5.1,Ref(s)
NiO4S,Andre 2016,,thermochemical,1,,5.3548666,5.3548666,Element
O2Pb,Andre 2016,,thermochemical,1,,1.7530568,1.7530568,Element
O2Pt,Andre 2016,,thermochemical,1,,23882.7389564,23882.7389564,Element
O2Se,ISE,,,1,12.7,15.2736989,12.7,Ref(s)
O2Ti,USGS,,,1,1.6847726,6.8942777,1.6847726,Ref(s)
O2Zr,ISE,,,1,4.3555,26.9877237,4.3555,Ref(s)
O3Rh2,Andre 2016,,thermochemical,1,,119201.2223238,119201.2223238,Element
O3Sb2,ISE,,,1,5.3790972,4.8620572,5.3790972,Ref(s)
O3Sc2,USGS,,,1,3820.0,2255.8548751,3820.0,Ref(s)
O3W,"USGS, ISE",,,2,9.5611042,28.0237561,9.5611042,Ref(s)
O3Y2,USGS,,,1,3.4,24.4434962,3.4,Ref(s)
O4SZn,Andre 2016,,thermochemical,1,,1.112163,1.112163,Element
O4SiZr,"USGS, ISE",,,2,215.1474688,18.4291399,215.1474688,Ref(s)
O5Sb2,Andre 2016,,thermochemical,1,,4.3963959,4.3963959,Element
O5Ta2,"USGS, ISE",,,2,187.3651933,249.8140627,187.3651933,Ref(s)
O5V2,"ISE, Andre 2016",,thermochemical,2,17.3069606,207.8916209,17.3069606,Ref(s)
Pb,"USGS, Li 2017, Kim 2013",,,3,2.0759813,2.0,2.0759813,Ref(s)
Pb2Sb,Li 2017,,,1,3.0,2.8606953,3.0,Ref(s)
Pd,USGS,,,1,1.8210866,49500.0,1.8210866,Ref(s)
Peat,USGS,,,1,0.0281663,,0.0281663,Ref(s)
Perlite,USGS,,,1,0.0723116,,0.0723116,Ref(s)
Phosphorite,USGS,,,1,0.0800895,,0.0800895,Ref(s)
Polysilicon,"ISE, Li 2017",Polysilicon,,2,25.275,,25.275,Ref(s)
Pt,USGS,,,1,1.0553198,27800.0,1.0553198,Ref(s)
Pumice,USGS,,,1,0.0357149,,0.0357149,Ref(s)
Quartz,USGS,,,1,328.0,,328.0,Ref(s)
Re,"USGS, ISE",,,2,1385.25,3580.0,1385.25,Ref(s)
Rh,USGS,,,1,9.3612091,147000.0,9.3612091,Ref(s)
Ru,USGS,,,1,0.3010831,10500.0,0.3010831,Ref(s)
S,"USGS, Li 2017",,,2,0.1573087,0.0926,0.1573087,Ref(s)
Sand,Liu 2016,Sand,,1,0.72,,0.72,Ref(s)
Sb,"USGS, ISE, Kim 2013",,,3,9.6329944,5.79,9.6329944,Ref(s)
Sc,USGS,,,1,182500.0,3460.0,182500.0,Ref(s)
Se,"USGS, ISE",,,2,22.5170408,21.4,22.5170408,Ref(s)
Sn,"USGS, Kim 2013",,,2,24.5983407,18.7,24.5983407,Ref(s)
Solar Salt,"Alva 2018 (Sensible), Liu 2016, Olympios 2021","Solar Salt, Solar Salt, Solar Salt",sensible_thermal,3,0.745,,0.745,Ref(s)
Sr,ISE,,,1,6.80275,6.605,6.80275,Ref(s)
Steel,Kale 2018,,virial_limited,1,1.7566667,,1.7566667,Ref(s)
Stone,"USGS, Alva 2018 (Sensible), Alva 2018 (Sensible), Alva 2018 (Sensible), Alva 2018 (Sensible)","Stone, Stone, Stone, Stone","sensible_thermal, sensible_thermal, sensible_thermal, sensible_thermal, gravitational",5,0.0132674,,0.0132674,Ref(s)
Syenite,USGS,,,1,0.1380094,,0.1380094,Ref(s)
Syltherm XLT,Alva 2018 (Sensible),Syltherm XLT,sensible_thermal,1,29.4,,29.4,Ref(s)
Synthetic CH4 (Sabatier),Calculation,,chemical,1,0.095,,0.095,Ref(s)
Synthetic H2,Calculation,,chemical,1,0.009,,0.009,Ref(s)
Synthetic H2 (Cavern),Ahluwalia,,chemical,1,0.36,,0.36,Ref(s)
Synthetic NH3 (Haber-Bosch),Calculation,,chemical,1,0.0592,,0.0592,Ref(s)
Ta,ISE,,,1,281.6666667,305.0,281.6666667,Ref(s)
Talc,USGS,,,1,0.2680821,,0.2680821,Ref(s)
TbO2,USGS,,,1,686.6,547.7476088,686.6,Ref(s)
Te,"USGS, ISE, Kim 2013",,,3,153.3314176,63.5,153.3314176,Ref(s)
Th,USGS,,,1,72.3333333,,72.3333333,Ref(s)
Ti,"USGS, ISE",,,2,10.0580833,11.4,10.0580833,Ref(s)
Ti2S4,Li 2017,,,1,80.0,4.925762,80.0,Ref(s)
TiS2,Li 2017,,,1,80.0,4.925762,80.0,Ref(s)
Tl,"USGS, Kim 2013",,,2,6969.0413282,4200.0,6969.0413282,Ref(s)
V,Alok 2021,,latent_thermal,1,205.0,371.0,205.0,Ref(s)
VOSO4(H2O)4,Li 2017,,,1,10.2,80.5578609,10.2,Ref(s)
Vegetable Oil,Alva 2018 (Sensible),Vegetable Oil,sensible_thermal,1,0.835,,0.835,Ref(s)
Vermiculite,Liu 2016,Vermiculite,,1,0.33,,0.33,Ref(s)
W,ISE,,,1,24.3428571,35.3,24.3428571,Ref(s)
Water Reservoir,Calculation/Black and Veatch,,gravitational,1,0.261,,0.261,Ref(s)
Y,USGS,,,1,35.4,31.0,35.4,Ref(s)
Zn,"USGS, Alva 2018 (Latent), Li 2017, Kim 2013, Alok 2021",,"latent_thermal, latent_thermal",5,4.5281673,2.55,4.5281673,Ref(s)
Zn0.25V2O5,Li 2017,,,1,10.0,190.9596363,10.0,Ref(s)
ZnBr2,Li 2017,,,1,1.56,3.8557833,1.56,Ref(s)
ZnSO4(H2O)7,Li 2017,,,1,0.41,0.7526083,0.41,Ref(s)
Zr,"USGS, ISE",,,2,23.225,36.4,23.225,Ref(s)
br2,USGS,,,1,2.442,,2.442,Ref(s)
kyanite,USGS,,,1,0.3952888,,0.3952888,Ref(s)
